id,nombre,orden,es_personalizada
1,SOLICTUD DE CERTIFICACION PROGRAMATICA,1,1
2,CERTIFICACION POA PAI,2,1
3,INFORME TECNICO,3,1
4,INFORME DE NECESIDAD,4,1
5,TERMINOS DE REFERENCIA - ESPECIFICACIONES TECNICAS,5,1
6,MESA TECNICA,6,1
7,CORRECCION,7,1
8,SOLICITUD DE AUTORIZACION DE INFORME DE NECESIDAD,8,1
9,AUTORIZACION DEL INFORME,9,1
10,SOLICITUD DE CATE,10,1
11,CATE,11,1
12,SOLICITUD DE PUBLICACION,12,1
13,PUBLICACION PROFORMAS,13,1
14,RECEPCION PROFORMAS,14,1
15,ESTUDIO DE MERCADO,15,1
16,SOLICITUD DE CERTIFICACION PRESUPUESTARIA,16,1
17,CERTIFICACION PRESUESTARIA,17,1
18,SOLICITUD DE CERTICACION PAC,18,1
19,CERTIFICACION PAC,19,1
20,ELABORACION DE PLIEGOS PARA DIRECTORIO,20,1
21,CONVOCATORIA DEL DIRECTORIO,21,1
22,DIRECTORIO,22,1
23,RESOLUCION DEL DIRECTORIO,23,1
24,SOLICITUD DE PUBLICACION VPN,24,1
25,RESULTADOS DE VPN,25,1
26,SOLICITUD DE AUTORIZACION SERCOP,26,1
27,AUTORIZACION SERCOP,27,1
28,ELABORACION DE BASES INTERNACIONALES PLIEGO,28,1
29,SOLICTUD DE AUTORIZACION QUITO HONESTO,29,1
30,INFORME QUITO HONESTO,30,1
31,SOLICITUD DE AUTORIZACION MINTEL,31,1
32,AUTORIZACION MINTEL,32,1
33,REGISTRO DE Información ERP,33,1
34,SOLICTUD DE AUTORIZACION DE INICIO,34,1
35,AUTORIZACION INICIO,35,1
36,ELABORACION DE PLIEGOS,36,1
37,SOLICITUD DE RESOLUCION DE INICO,37,1
38,RESOLUCION DE INICIO,38,1
39,CARGA EN EL ERP DE RESOLUCION DE INICIO,39,1
40,FECHA DE PUBLICACION EN EL PORTAL - SUSCRIPCION DE INFIMA CUANTIA,40,1
41,PREGUNTAS,41,1
42,RESPUESTA,42,1
43,ENTREA DE OFERTA,43,1
44,REVISION PARA CONVALIDACION,44,1
45,SOLICITUD DE CONVALIDACION,45,1
46,ENTREGA DE CONVALIDACION,46,1
47,CALIFICACION,47,1
48,INFORME DE RECOMENDACION - PUJA,48,1
49,ADJUDICACION,49,1
50,CONTRATO,50,1
51,CARTA DE INTENCIÓN,51,1
52,VALORIZACIÓN,52,1
53,APROBACIÓN,53,1
54,INFORME FINANCIERO,54,1
55,INFORME JURÍDICO,55,1
56,BORRADOR DE ACUERDO COMERCIAL,56,1
57,FIRMA DEL ACUERDO COMERCIAL,57,1
58,SOLICITUD DE REFORMA PAC,58,1
59,ENTREGA DE PROFORMAS,59,1
60,RESOLUCION VPN,60,1
61,SUSCRIPCION DE INFIMA CUANTIA,61,1
62,Anexo,62,1
63,Informe de recomendacion,63,1
64,VERIFICACION DE CATALOGO,64,1
65,SOLICITUD DE CATALOGO,65,1
67,Fecha de Publicación,66,1
