id,clave,nombre,descripcion,activo,orden,created_at,updated_at
1,dashboard,Dashboard,Acceso a indicadores generales,1,10,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
2,actividades,Procesos / Actividades,Gestión y consulta de procesos,1,20,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
3,reportes,Reportes,Consulta y exportación de reportes,1,30,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
4,versiones,Versiones,Gestión de reformas y versiones POA,1,40,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
5,usuarios,Usuarios,Administración de usuarios del sistema,1,50,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
6,catalogos,Catálogos,Administración de catálogos maestros,1,60,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
7,permisos,Permisos por rol,Administración de permisos y menús,1,70,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
8,notificaciones,Notificaciones,Consulta y gestión de notificaciones,1,80,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
9,estados,Estados,Consulta de estados de seguimiento,1,90,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
10,admin_actividades,Admin Procesos,Configuración administrativa de procesos,1,100,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
11,admin_versiones,Admin Versiones,Operaciones administrativas de versiones,1,110,Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:04:04 GMT-0500 (hora de Ecuador)
258,admin_usuarios,Admin Usuarios,Administración de usuarios del sistema,1,50,Fri Mar 27 2026 16:14:45 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:14:45 GMT-0500 (hora de Ecuador)
259,admin_catalogos,Admin Catálogos,Administración de catálogos maestros,1,60,Fri Mar 27 2026 16:14:45 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:14:45 GMT-0500 (hora de Ecuador)
260,admin_permisos,Admin Permisos,Administración de permisos y menús,1,70,Fri Mar 27 2026 16:14:45 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:14:45 GMT-0500 (hora de Ecuador)
480,admin_auditoria,Admin Auditoría,Consulta de trazabilidad y bitácora de cambios,1,75,Fri Mar 27 2026 16:27:07 GMT-0500 (hora de Ecuador),Fri Mar 27 2026 16:27:07 GMT-0500 (hora de Ecuador)
3543,chat_ia,Chat IA,Asistente conversacional para apoyo operativo,1,85,Tue Apr 14 2026 21:38:17 GMT-0500 (hora de Ecuador),Tue Apr 14 2026 21:38:17 GMT-0500 (hora de Ecuador)
