id,role,campo_clave,puede_ver,puede_editar,created_at,updated_at
1,admin,fecha_reforma,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:52:04 GMT-0500 (hora de Ecuador)
2,admin,fecha_reforma_3,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:52:04 GMT-0500 (hora de Ecuador)
3,admin,fecha_completo,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador)
4,admin,estado_etapa,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador)
5,direccion,fecha_reforma,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Wed Jul 29 2026 08:33:49 GMT-0500 (hora de Ecuador)
6,direccion,fecha_reforma_3,0,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Tue Jul 28 2026 11:52:21 GMT-0500 (hora de Ecuador)
7,direccion,fecha_completo,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador)
8,direccion,estado_etapa,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador)
9,reporteria,fecha_reforma,1,1,Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:40 GMT-0500 (hora de Ecuador)
10,reporteria,fecha_reforma_3,1,1,Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador)
11,reporteria,fecha_completo,1,1,Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador)
12,reporteria,estado_etapa,1,1,Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador)
13,supervisor,fecha_reforma,1,1,Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador)
14,supervisor,fecha_reforma_3,1,1,Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador)
15,supervisor,fecha_completo,1,1,Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador)
16,supervisor,estado_etapa,1,1,Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador),Mon May 18 2026 15:47:41 GMT-0500 (hora de Ecuador)
877,solo_vista,fecha_reforma,1,1,Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador),Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador)
878,solo_vista,fecha_reforma_3,1,1,Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador),Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador)
879,solo_vista,fecha_completo,1,1,Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador),Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador)
880,solo_vista,estado_etapa,1,1,Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador),Mon Jul 06 2026 11:55:00 GMT-0500 (hora de Ecuador)
1333,direccion_edicion,fecha_reforma,1,1,Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador),Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador)
1334,direccion_edicion,fecha_reforma_3,1,1,Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador),Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador)
1335,direccion_edicion,fecha_completo,1,1,Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador),Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador)
1336,direccion_edicion,estado_etapa,1,1,Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador),Tue Jul 28 2026 12:17:03 GMT-0500 (hora de Ecuador)
